,actor1,actor2,admin1,admin2,admin3,assoc_actor_1,assoc_actor_2,country,data_id,event_date,event_id_cnty,event_id_no_cnty,event_type,fatalities,geo_precision,inter1,inter2,interaction,iso,iso3,latitude,location,longitude,notes,region,source,source_scale,sub_event_type,time_precision,timestamp,year
62,Protesters (Dominican Republic),,Maria Trinidad Sanchez,Nagua,,,,Dominican Republic,6939824,2020-02-20,DOM80,80,Protests,0,1,6,0,60,214,DOM,19.3832,Nagua,-69.8474,"On 20 February 2020 in Nagua, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
63,Protesters (Dominican Republic),,San Cristobal,San Cristobal,,,,Dominican Republic,6939826,2020-02-20,DOM85,85,Protests,0,1,6,0,60,214,DOM,18.4536,San Cristobal,-70.1935,"On 20 February 2020 in San Cristobal, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
64,Protesters (Dominican Republic),,San Pedro de Macoris,San Pedro de Macoris,,,,Dominican Republic,6939829,2020-02-20,DOM89,89,Protests,0,1,6,0,60,214,DOM,18.4539,San Pedro de Macoris,-69.3086,"On 20 February 2020 in San Pedro de Macoris, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
65,Protesters (Dominican Republic),,Hermanas Mirabal,Salcedo,,,,Dominican Republic,6939830,2020-02-20,DOM82,82,Protests,0,1,6,0,60,214,DOM,19.3776,Salcedo,-70.4176,"On 20 February 2020 in Salcedo, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
66,Protesters (Dominican Republic),,Puerto Plata,San Felipe de Puerto Plata,,,,Dominican Republic,6939832,2020-02-20,DOM86,86,Protests,0,1,6,0,60,214,DOM,19.7934,San Felipe de Puerto Plata,-70.6884,"On 20 February 2020 in Puerto Plata, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
67,Protesters (Dominican Republic),,Barahona,Santa Cruz de Barahona,,,,Dominican Republic,6939833,2020-02-20,DOM90,90,Protests,0,1,6,0,60,214,DOM,18.2085,Santa Cruz de Barahona,-71.1008,"On 20 February 2020 in Barahona, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
68,Protesters (Dominican Republic),,Samana,Santa Barbara de Samana,,,,Dominican Republic,6939837,2020-02-20,DOM84,84,Protests,0,1,6,0,60,214,DOM,19.2056,Samana,-69.3369,"On 20 February 2020 in Samana, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
69,Protesters (Dominican Republic),,Distrito Nacional,Santo Domingo,,Students (Dominican Republic); Labour Group (Dominican Republic),,Dominican Republic,6939838,2020-02-20,DOM93,93,Protests,0,1,6,0,60,214,DOM,18.4719,Santo Domingo,-69.8923,"On 20 February 2020 in Santo Domingo, thousands of people, including students, artists, athletes, and politicians, staged a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=thousands]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
70,Protesters (Dominican Republic),,Monsenor Nouel,Bonao,,,,Dominican Republic,6939849,2020-02-20,DOM71,71,Protests,0,1,6,0,60,214,DOM,18.9369,Bonao,-70.4092,"On 20 February 2020 in Bonao, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
71,Protesters (Dominican Republic),,La Vega,Concepcion de la Vega,,,,Dominican Republic,6939856,2020-02-20,DOM72,72,Protests,0,1,6,0,60,214,DOM,19.2221,Concepcion de la Vega,-70.5296,"On 20 February 2020 in La Vega, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
72,Protesters (Dominican Republic),,Valverde,Esperanza,,,,Dominican Republic,6939859,2020-02-20,DOM75,75,Protests,0,1,6,0,60,214,DOM,19.5847,Esperanza,-70.9849,"On 20 February 2020 in Esperanza, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
73,Protesters (Dominican Republic),,La Altagracia,Salvaleon de Higuey,,,,Dominican Republic,6939861,2020-02-20,DOM83,83,Protests,0,1,6,0,60,214,DOM,18.6150,Salvaleon de Higuey,-68.7080,"On 20 February 2020 in Higuey, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
74,Protesters (Dominican Republic),,Duarte,San Francisco de Macoris,,,,Dominican Republic,6939862,2020-02-20,DOM87,87,Protests,0,1,6,0,60,214,DOM,19.3010,San Francisco de Macoris,-70.2526,"On 20 February 2020 in San Francisco de Macoris, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
75,Protesters (Dominican Republic),,San Cristobal,Villa Altagracia,,,,Dominican Republic,6939868,2020-02-20,DOM94,94,Protests,0,1,6,0,60,214,DOM,18.6730,Villa Altagracia,-70.1710,"On 20 February 2020 in Villa Altagracia, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
76,Protesters (Dominican Republic),,Sanchez Ramirez,Cotui,,,,Dominican Republic,6939870,2020-02-20,DOM73,73,Protests,0,1,6,0,60,214,DOM,19.0585,Cotui,-70.1527,"On 20 February 2020 in Cotui, dozens of people protested against the electoral board, demanding their resignation for canceling the municipal elections after the automated voting system failed. [size=dozens]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
77,Protesters (Dominican Republic),,Dajabon,Dajabon,,,,Dominican Republic,6939874,2020-02-20,DOM74,74,Protests,0,1,6,0,60,214,DOM,19.5488,Dajabon,-71.7083,"On 20 February 2020 in Dajabon, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
78,Protesters (Dominican Republic),,Santiago,Licey al Medio,,,,Dominican Republic,6939875,2020-02-20,DOM78,78,Protests,0,1,6,0,60,214,DOM,19.4333,Licey al Medio,-70.6000,"On 20 February 2020 in Licey al Medio, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
79,Protesters (Dominican Republic),,La Altagracia,Salvaleon de Higuey,,,,Dominican Republic,6939890,2020-02-20,DOM81,81,Protests,0,1,6,0,60,214,DOM,18.5818,Punta Cana,-68.4043,"On 20 February 2020 in Punta Cana, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
80,Protesters (Dominican Republic),,San Juan,San Juan de la Maguana,,,,Dominican Republic,6939891,2020-02-20,DOM88,88,Protests,0,1,6,0,60,214,DOM,18.8088,San Juan de la Maguana,-71.2291,"On 20 February 2020 in San Juan de la Maguana, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
81,Protesters (Dominican Republic),,Espaillat,Moca,,,,Dominican Republic,6939893,2020-02-20,DOM79,79,Protests,0,1,6,0,60,214,DOM,19.3935,Moca,-70.5260,"On 20 February 2020 in Moca, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
82,Protesters (Dominican Republic),,Santiago,Santiago de los Caballeros,,,,Dominican Republic,6939894,2020-02-20,DOM92,92,Protests,0,1,6,0,60,214,DOM,19.4517,Santiago de los Caballeros,-70.6970,"On 20 February 2020 in Santiago, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
83,Protesters (Dominican Republic),,Monte Cristi,Villa Vazquez,,,,Dominican Republic,6939897,2020-02-20,DOM95,95,Protests,0,2,6,0,60,214,DOM,19.7411,Villa Vazquez,-71.4464,"On 20 February 2020 in Montecristi by Villa Vazquez, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
84,Protesters (Dominican Republic),,Valverde,Santa Cruz de Mao,,,,Dominican Republic,6939900,2020-02-20,DOM91,91,Protests,0,1,6,0,60,214,DOM,19.5525,Santa Cruz de Mao,-71.0803,"On 20 February 2020 in Mao, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
85,Protesters (Dominican Republic),,Azua,Guayabal,,,,Dominican Republic,6939903,2020-02-20,DOM76,76,Protests,0,2,6,0,60,214,DOM,18.5981,Guayabal,-71.6418,"On 20 February 2020 in Guayabal, Azua, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
86,Protesters (Dominican Republic),,Puerto Plata,San Felipe de Puerto Plata,,,,Dominican Republic,6939907,2020-02-19,DOM65,65,Protests,0,1,6,0,60,214,DOM,19.7934,San Felipe de Puerto Plata,-70.6884,"On 19 February 2020 in Puerto Plata, there was a protest demanding the resignation of the electoral board for canceling the municipal elections after the automated voting system failed on February 16. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
87,Unidentified Armed Group (Jamaica),Military Forces of Jamaica (2016-),Saint James,,,,Police Forces of Jamaica (2016-),Jamaica,6958862,2020-02-19,JAM164,164,Battles,2,1,3,1,13,388,JAM,18.4712,Montego Bay,-77.9188,"On 19 February 2020 in Montego Bay, a joint police and military team had a shootout with a criminal group, three members of the group were shot, two of them fatally. The two were wanted by police for shooting episodes.",Caribbean,Loop News Jamaica,National,Armed clash,1,1582840329,2020
88,Unidentified Armed Group (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,FJKL: Fondation Je Klere,Haiti,6972530,2020-02-19,HTI416,416,Strategic developments,0,1,3,7,37,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 19 February 2020, in Port-au-Prince, the office of the president of the human rights organization Fondation Je Klere: FJKL was vandalized, burning tires left by the entrance, six vehicles and a generator were set on fire, there were bullet holes, rocks, and glass around the building. The FJKL president had been vocal against the creation of the union for police officers.",Caribbean,RNDDH: National Human Rights Defense Network; Le Nouvelliste,Other-National,Looting/property destruction,1,1583178774,2020
89,Protesters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,Police Forces of Haiti (2011-),,Haiti,6958498,2020-02-19,HTI413,413,Protests,0,1,6,0,60,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 19 February 2020 in Port-au-Prince, several hundred people, bikers, police officers, and armed men, demonstrated in the street, against statements made against the police and their union by government officials. [size=several hundred]",Caribbean,Le Nouvelliste,National,Peaceful protest,1,1582840328,2020
90,Rioters (Haiti),Civilians (Haiti),Nord,Cap-Haitien,Cap-Haitien,,Government of Haiti (2011-),Haiti,6958510,2020-02-19,HTI411,411,Riots,0,1,5,7,57,332,HTI,19.7594,Cap-Haitien,-72.1982,"On 19 February 2020 in Cap-Haitien, a group of armed and hooded individuals dressed in black fired shots by the cathedral, the city hall, and other public buildings. There were reports of public panic downtown but no injuries. [size=no report]",Caribbean,Le Nouvelliste,National,Mob violence,1,1582840328,2020
91,Protesters (Dominican Republic),,Barahona,Santa Cruz de Barahona,,,,Dominican Republic,6939834,2020-02-19,DOM68,68,Protests,0,1,6,0,60,214,DOM,18.2085,Santa Cruz de Barahona,-71.1008,"On 19 February 2020 in Barahona, there was a protest demanding the resignation of the electoral board for canceling the municipal elections after the automated voting system failed on February 16. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
92,Protesters (Dominican Republic),,San Pedro de Macoris,San Pedro de Macoris,,,,Dominican Republic,6939835,2020-02-19,DOM67,67,Protests,0,1,6,0,60,214,DOM,18.4539,San Pedro de Macoris,-69.3086,"On 19 February 2020 in San Pedro, there was a protest demanding the resignation of the electoral board for canceling the municipal elections after the automated voting system failed on February 16. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
93,Protesters (Dominican Republic),,Distrito Nacional,Santo Domingo,,,,Dominican Republic,6939851,2020-02-19,DOM70,70,Protests,0,1,6,0,60,214,DOM,18.4719,Santo Domingo,-69.8923,"On 19 February 2020 in Santo Domingo, thousands of people dressed in black protested against the electoral board for canceling the municipal elections after the automated voting system failed. [size=hundreds]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
94,Protesters (Dominican Republic),,La Vega,Concepcion de la Vega,,,,Dominican Republic,6939852,2020-02-19,DOM60,60,Protests,0,1,6,0,60,214,DOM,19.2221,Concepcion de la Vega,-70.5296,"On 19 February 2020 in La Vega, there was a protest demanding the resignation of the electoral board for canceling the municipal elections after the automated voting system failed on February 16. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
95,Protesters (Dominican Republic),,La Vega,Concepcion de la Vega,,,,Dominican Republic,6939854,2020-02-19,DOM61,61,Protests,0,1,6,0,60,214,DOM,19.1239,Jarabacoa,-70.6493,"On 19 February 2020 in Jarabacoa, there was a protest demanding the resignation of the electoral board for canceling the municipal elections after the automated voting system failed on February 16. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
